Nothing was hit, theta was 0.098174770424681, rho was 1.52170894158256
Nothing was hit, theta was 0.098174770424681, rho was 1.47262155637022
Nothing was hit, theta was 0.098174770424681, rho was 1.42353417115788
Nothing was hit, theta was 0.098174770424681, rho was 1.37444678594554
Nothing was hit, theta was 0.098174770424681, rho was 1.3253594007332
Nothing was hit, theta was 0.098174770424681, rho was 1.27627201552086
Nothing was hit, theta was 0.098174770424681, rho was 1.22718463030852
Nothing was hit, theta was 0.098174770424681, rho was 1.17809724509618
Nothing was hit, theta was 0.098174770424681, rho was 1.12900985988383
Nothing was hit, theta was 0.098174770424681, rho was 1.07992247467149
Nothing was hit, theta was 0.098174770424681, rho was 1.03083508945915
Nothing was hit, theta was 0.098174770424681, rho was 0.981747704246813
Nothing was hit, theta was 0.098174770424681, rho was 0.932660319034472
Nothing was hit, theta was 0.098174770424681, rho was 0.883572933822132
Nothing was hit, theta was 0.098174770424681, rho was 0.834485548609791
Nothing was hit, theta was 0.098174770424681, rho was 0.785398163397451
Nothing was hit, theta was 0.098174770424681, rho was 0.73631077818511
Nothing was hit, theta was 0.098174770424681, rho was 0.68722339297277
Nothing was hit, theta was 0.098174770424681, rho was 0.638136007760429
Nothing was hit, theta was 0.098174770424681, rho was 0.589048622548088
Nothing was hit, theta was 0.098174770424681, rho was 0.539961237335748
Nothing was hit, theta was 0.098174770424681, rho was 0.490873852123407
Nothing was hit, theta was 0.098174770424681, rho was 0.441786466911067
Nothing was hit, theta was 0.098174770424681, rho was 0.392699081698726
Nothing was hit, theta was 0.098174770424681, rho was 0.343611696486386
Nothing was hit, theta was 0.098174770424681, rho was 0.294524311274045
Nothing was hit, theta was 0.098174770424681, rho was 0.245436926061705
Nothing was hit, theta was 0.098174770424681, rho was 0.196349540849364
Nothing was hit, theta was 0.098174770424681, rho was 0.147262155637024
Nothing was hit, theta was 0.098174770424681, rho was 0.0981747704246832
Nothing was hit, theta was 0.098174770424681, rho was 0.0490873852123427
Nothing was hit, theta was 0.098174770424681, rho was 2.16493489801906E-15
Nothing was hit, theta was 0.098174770424681, rho was -0.0490873852123384
Nothing was hit, theta was 0.098174770424681, rho was -0.0981747704246789
Nothing was hit, theta was 0.098174770424681, rho was -0.147262155637019
Nothing was hit, theta was 0.098174770424681, rho was -0.19634954084936
Nothing was hit, theta was 0.098174770424681, rho was -0.2454369260617
Nothing was hit, theta was 0.098174770424681, rho was -0.294524311274041
Nothing was hit, theta was 0.098174770424681, rho was -0.343611696486381
Nothing was hit, theta was 0.098174770424681, rho was -0.392699081698722
Nothing was hit, theta was 0.098174770424681, rho was -0.441786466911062
Nothing was hit, theta was 0.098174770424681, rho was -0.490873852123403
Nothing was hit, theta was 0.098174770424681, rho was -0.539961237335744
Nothing was hit, theta was 0.098174770424681, rho was -0.589048622548084
Nothing was hit, theta was 0.098174770424681, rho was -0.638136007760425
